tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,20-24,Laki-Laki,471
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,25-29,Laki-Laki,533
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,30-34,Laki-Laki,499
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,35-39,Laki-Laki,563
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,40-44,Laki-Laki,510
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,45-49,Laki-Laki,542
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,50-54,Laki-Laki,468
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,55-59,Laki-Laki,409
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,60-64,Laki-Laki,288
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,65-69,Laki-Laki,229
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,70-75,Laki-Laki,139
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,>75,Laki-Laki,107
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,0-4,Laki-Laki,704
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,05-09,Laki-Laki,1061
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,10-14,Laki-Laki,1065
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,15-19,Laki-Laki,1023
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,20-24,Laki-Laki,973
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,25-29,Laki-Laki,963
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,30-34,Laki-Laki,1127
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,35-39,Laki-Laki,1212
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,40-44,Laki-Laki,1035
