tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,0-4 ,Laki laki,4451
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,0-4 ,Laki laki,1955
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,0-4 ,Laki laki,2245
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,0-4 ,Laki laki,3838
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,0-4 ,Laki laki,1656
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,0-4 ,Laki laki,4100
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,0-4 ,Laki laki,1117
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,0-4 ,Laki laki,1430
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,0-4 ,Laki laki,2087
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,0-4 ,Laki laki,1425
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,0-4 ,Laki laki,3141
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,0-4 ,Laki laki,3834
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,0-4 ,Laki laki,3165
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,0-4 ,Laki laki,1640
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,0-4 ,Laki laki,7228
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,0-4 ,Laki laki,4245
2016,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,0-4 ,Laki laki,700
