tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,0-4,Laki-laki,2855
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,0-4,Laki-laki,3296
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,0-4,Laki-laki,2473
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,0-4,Laki-laki,1616
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,0-4,Laki-laki,4034
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,0-4,Laki-laki,3403
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,0-4,Laki-laki,1935
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,0-4,Laki-laki,2323
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,0-4,Laki-laki,2397
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,0-4,Laki-laki,2635
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,0-4,Laki-laki,3013
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,0-4,Laki-laki,1646
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,0-4,Laki-laki,4486
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,0-4,Laki-laki,1887
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,0-4,Laki-laki,2157
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,0-4,Laki-laki,3800
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,0-4,Laki-laki,1665
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,0-4,Laki-laki,4187
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,0-4,Laki-laki,1182
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,0-4,Laki-laki,1426
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,0-4,Laki-laki,2091
2015,PROVINSI DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,0-4,Laki-laki,1499
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,0-4,Laki-laki,3182
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,0-4,Laki-laki,3902
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,0-4,Laki-laki,3137
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,0-4,Laki-laki,1625
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,0-4,Laki-laki,7126
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,0-4,Laki-laki,4241
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,0-4,Laki-laki,726
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,0-4,Laki-laki,795
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,0-4,Laki-laki,1274
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,0-4,Laki-laki,1342
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,0-4,Laki-laki,1150
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,0-4,Laki-laki,1800
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,0-4,Laki-laki,1846
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,0-4,Laki-laki,585
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,0-4,Laki-laki,972
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,0-4,Laki-laki,710
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,0-4,Laki-laki,490
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,0-4,Laki-laki,294
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,0-4,Laki-laki,795
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,0-4,Laki-laki,242
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,PINANGSIA,0-4,Laki-laki,436
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,0-4,Laki-laki,458
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,0-4,Laki-laki,1223
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,0-4,Laki-laki,998
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,0-4,Laki-laki,1155
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,0-4,Laki-laki,1025
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,0-4,Laki-laki,1519
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,0-4,Laki-laki,1335
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,0-4,Laki-laki,1027
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,0-4,Laki-laki,961
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,0-4,Laki-laki,100
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,0-4,Laki-laki,661
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,0-4,Laki-laki,2603
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,0-4,Laki-laki,2018
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,0-4,Laki-laki,2081
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,0-4,Laki-laki,1158
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,0-4,Laki-laki,2745
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,0-4,Laki-laki,2103
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,0-4,Laki-laki,1624
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,0-4,Laki-laki,3574
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,0-4,Laki-laki,3757
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,0-4,Laki-laki,4327
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,0-4,Laki-laki,3023
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,0-4,Laki-laki,3257
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,0-4,Laki-laki,3020
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,0-4,Laki-laki,904
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,0-4,Laki-laki,1405
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,0-4,Laki-laki,1454
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,0-4,Laki-laki,1462
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,0-4,Laki-laki,1132
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,0-4,Laki-laki,2789
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,0-4,Laki-laki,2108
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,0-4,Laki-laki,1633
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,0-4,Laki-laki,2163
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,0-4,Laki-laki,1905
2015,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,0-4,Laki-laki,1194
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,0-4,Laki-laki,649
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,0-4,Laki-laki,853
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,0-4,Laki-laki,1801
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,0-4,Laki-laki,1770
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,0-4,Laki-laki,1757
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,0-4,Laki-laki,1118
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,0-4,Laki-laki,1365
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,0-4,Laki-laki,117
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,0-4,Laki-laki,85
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,0-4,Laki-laki,730
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,0-4,Laki-laki,445
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,0-4,Laki-laki,1334
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,0-4,Laki-laki,1314
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,0-4,Laki-laki,132
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,0-4,Laki-laki,277
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,0-4,Laki-laki,974
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,0-4,Laki-laki,1003
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,0-4,Laki-laki,2068
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,0-4,Laki-laki,1678
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,0-4,Laki-laki,649
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,0-4,Laki-laki,1061
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,0-4,Laki-laki,1824
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,0-4,Laki-laki,1390
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,0-4,Laki-laki,1876
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,0-4,Laki-laki,2907
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,0-4,Laki-laki,1736
