"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"1054","Publishing What We Learned. An Assessment of the Publish What You Pay Coalition","Mabel van Oranje; Henry Parham","","","","","",2009,NA,"",NA,"","B2","",NA,"Book","","",""
"1083","Reportase. Tikus-tikus di Sekitar Kita","","","","","AJI Jakarta","Edisi 30 April 2010",2010,NA,"",9789793530178,"","B2","",NA,"Journal","","",""
"1088","Resolusi Konflik. Belajar untuk Kembali Bersama Mengurus Hutan","Agung Wiyono; Aliem Nur; Harun Andi Burhanuddin","","","","Lembaga Pengembangan Masyarakat Pesisir dan Pedalaman (LePMIL)","",2006,NA,"979998310X",NA,"","B2","",NA,"Book","","",""
"1127","sastra bandingan","","","","","Yayasan Kalam","",2004,NA,"",NA,"","B2","Literature",NA,"Book","","",""
"1129","Sastra. Refleksi Historis dan Tinjauan Kritis","Jamal T. Suryanata","","","","Pusat Kajian Kebudayaan Banjar","1",2015,NA,"",9786029864298,"","B2","Literature",NA,"Book","","",""
"1146","Sekilas Mengenai Daerah Banjar dan Kebudayaan Sungainya Sampai Dengan Abad ke-19","","","","","Museum Negeri Lambung Mangkurat","",1984,NA,"",NA,"","B2","Urbanism, Indonesian City",NA,"Book","","",""
"1157","Sepuluh pelajaran untuk wartawan","Nur Zain Hae; Darpan Ariawinangun; Dicky Lopulalan; Hawe Setiawan; Pax Benedanto","","","","LSPP & UNESCO","Cet. 1",2017,NA,"9799381118",9789799381118,"","B2","Unknown",NA,"Book","Manual for Indonesian journalists. - from Amzon","",""
"1162","Si Miskin (tidak lagi) Dilarang Sakit dan Sekolah","Tim FAKTA","","","","Forum Warga Kota Jakarta (FAKTA)","",2011,NA,"",9789799852557,"","B2","",NA,"Book","","",""
"1201","Strategic Review","","","","","","Vol. 1 No. 1",2011,NA,"",NA,"","B2","",NA,"Journal","","",""
"1209","Studi Tata Kelola Proses Legislasi","Tim Peneliti PSHK","","","","Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)","",2008,NA,"",NA,"","B2","",NA,"Book","","",""
"1214","Sultan Suriansyah. Pioner Dakwah Islam di Tanah Banjar","Ahmad Barjie B","","","","Pustaka Banua","1",2017,NA,"",9786029864687,"","B2","History",NA,"Book","","",""
"1222","Suryo Kinasih. The Beloved Suryo Wardhoyo Prawiroatmodjo","Eka Budianta","","","","Eugenia Learning Center","",2013,NA,"",9786021770320,"","B2","",NA,"Book","","",""
"1231","Syair Indera Bumaya Bagian III","","","Busri","","Pustaka Banua","1",2015,NA,"",9786029864366,"","B2","Literature",NA,"Book","","",""
"1232","Syair Pangeran Antasari","Selamat Bakumpai","","","","Pustaka Banua","1",2017,NA,"",9786029864663,"","B2","Literature",NA,"Book","","",""
"1255","Tenunan Tradisional Sutra Mandar di Sulawesi Barat","Drs. Shaifruddin Bahrum, MA; Dalif Anwar, SS","","","","Departemen Kebudayaan dan Pariwisata","",2009,NA,"",9786028099165,"","B2","",NA,"Book","","",""
"1340","The Lost City. Menelusuri Jejak Nyai Undang Dari Kuta Bataguh Dalam Memori Suku Dayak Ngaju","","Mansyur; Herry Porda NP.; M.Z. Arifin Anis","","","Penerbit Ombak","1",2017,NA,"",9786022584360,"","B2","Southeast Asia",NA,"Book","","",""
"1432","Transformasi BUMN Menuju Pentas Global","","","","","Pusat Data dan Analisa Tempo","",2011,NA,"",9789799065452,"","B2","",NA,"Book","","",""
"1433","Transformasi BUMN Menuju Pentas Global","","","","","Pusat Data dan Analisa Tempo","",2011,NA,"",NA,"","B2","",NA,"Publication","","",""
"1447","Ujungberung Rebels. Panceg Dina Galur","Andrenalin Katarsis; Kimung","","Yusandi Ojel; Yasmin Kartikasari","","Minor Books","",2012,NA,"",9789791361040,"","B2","",NA,"Book","","",""
"1451","Undang-undang Republik Indonesia Nomor 2 Tahun 2012","","","","","Direktorat Tata Ruang dan Pertanahan Kementerian Perencanaan Pembangunan Nasional","",NA,NA,"",NA,"","B2","Law",NA,"Publication","","",""
"1454","Undang-undang Republik Indonesia Nomor 5 Tahun 1992 Tentang Benda Cagar Budaya. Peraturan Daerah Daerah Khusus Ibukota Jakarta Nomor 9 Tahun 1999 Tentang Pelestarian dan Pemanfaatan Lingkungan dan Bangunan Cagar Budaya","","","","","Dinas Museum dan Pemugaran Daerah Khusus Ibukota Jakarta","",NA,NA,"",NA,"","B2","Law",NA,"Publication","","",""
"1456","Unmet Needs Research Report","","","","","Kopernik","",2016,NA,"",NA,"","B2","",NA,"Publication","","",""
"1459","Urang Banjar & Kebudayaannya","","","M. Suriansyah Ideham","","Penerbit Ombak","1",2005,NA,"",9786022583387,"","B2","Ethnology",NA,"Book","","",""
"1491","Wani Ditata Project. Konstruksi Perempuan dalam Birokrasi Negara","","","","","Dewan Kesenian Jakarta","",NA,NA,"",NA,"","B2","",NA,"Book","","",""
