tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-laki,3424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-laki,10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-laki,22654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-laki,13114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-laki,11159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-laki,18909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-laki,12162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-laki,9312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-laki,15930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-laki,21397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-laki,14165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,Laki-laki,9392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-laki,20526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,Laki-laki,17961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-laki,10543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-laki,11782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-laki,12668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,Laki-laki,13354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-laki,17756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,Laki-laki,7697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,Laki-laki,20872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-laki,10778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,Laki-laki,11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-laki,21072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-laki,10992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
